AcademicKeywordID,Name
128865,algorithms
128866,artificial intelligence
128867,genetic algorithms
128868,multicriteria optimization
128869,multiobjective optimization
128870,vector optimization
128871,query optimization
128872,query execution
128873,client-server databases
128874,middleware
128875,multitier architectures
128876,database application systems
128877,wrappers
128878,replication
128879,caching
128880,economic models for query processing
128881,dissemination-based information systems
128882,defeasible argumentation
128883,argumentative systems
128884,defeasible reasoning
128885,theory
128886,clustering
128887,indexing
128888,information retrieval
128889,Internet
128890,knowledge management
128891,search engine
128892,World Wide Web
128893,edit distance
128894,Levenshtein distance
128895,online string matching
128896,text searching allowing errors
128897,curse of dimensionality
128898,nearest neighbors
128899,similarity searching
128900,vector spaces
128901,design
128902,measurement
128903,performance
128904,index structures
128905,indexing high-dimensional data
128906,multimedia databases
128907,similarity search
128908,languages
128909,complexity
128910,datalog
128911,expressive power
128912,logic programming
128913,nonmonotonic logic
128914,query languages
128915,experimentation
128916,machine learning
128917,text categorization
128918,text classification
128919,reliability
128920,message logging
128921,rollback-recovery
128922,automatic design
128923,field-programmable
128924,FPGA
128925,manual design
128926,reconfigurable architectures
128927,reconfigurable computing
128928,reconfigurable systems
128929,approximation algorithms
128930,embedding
128931,heuristics
128932,layout
128933,parameterized complexity
128934,random graphs
128935,face recognition
128936,person identification
128937,metaheuristics
128938,combinatorial optimization
128939,intensification
128940,diversification
128941,distribution
128942,interaction
128943,publish/subscribe
128944,management
128945,security
128946,multicast security
128947,group key distribution
128948,content distribution
128949,DOLR
128950,DHT
128951,grid computing
128952,p2p
128953,peer-to-peer
128954,magnetic resonance angiography
128955,medical imaging
128956,neurovascular
128957,vessel extraction
128958,X-ray angiography
128959,distributed systems
128960,distributed algorithms
128961,group communication
128962,fault-tolerance
128963,agreement problems
128964,message passing
128965,total ordering
128966,global ordering
128967,atomic multicast
128968,atomic broadcast
128969,classification
128970,taxonomy
128971,survey
128972,dataflow
128973,software engineering
128974,graphical programming
128975,component software
128976,multithreading
128977,co-ordination languages
128978,data flow visual programming
128979,domain-specific language
128980,application language
128981,domain analysis
128982,language development system
128983,connectivity
128984,energy consumption
128985,topology control
128986,sensor networks
128987,wireless ad hoc networks
128988,flash memory
128989,EEPROM memory
128990,wear leveling
128991,human factors
128992,human-computer interaction
128993,computer science education
128994,literacy
128995,learning
128996,problem solving
128997,appearance models
128998,contour evolution
128999,feature selection
129000,object detection
129001,object representation
129002,point tracking
129003,shape tracking
129004,chip-area networks
129005,communication-centric design
129006,communication abstractions
129007,GALS
129008,GSI design
129009,interconnects
129010,network-on-chip
129011,NoC
129012,OCP
129013,on-chip communication
129014,SoC
129015,sockets
129016,system-on-chip
129017,ULSI design
129018,knowledge discovery
129019,classification rules
129020,interestingness measures
129021,interest measures
129022,summaries
129023,association rules
129024,remote laboratories
129025,simulation
129026,presence
129027,thought experiments
129028,teleoperation
129029,text indexing
129030,text compression
129031,entropy
129032,botnet
129033,bandwidth attack
129034,DNS reflector attack
129035,DoS
129036,DDoS
129037,Internet security
129038,IP spoofing
129039,IP traceback
