AcademicKeywordPlusID,Name
125079,GENETIC ALGORITHM
125080,MULTICRITERIA OPTIMIZATION
125081,STRUCTURAL OPTIMIZATION
125082,ENGINEERING DESIGN
125083,SEARCH
125084,SOLVE
125085,DATABASE-SYSTEMS
125086,DATA REPLICATION
125087,PERFORMANCE
125088,JOIN
125089,OPTIMIZATION
125090,ALGORITHMS
125091,ACCESS
125092,IMPLEMENTATION
125093,FRAMEWORK
125094,WORLD-WIDE-WEB
125095,SYSTEM
125096,DIRECTIONS
125097,ENGINE
125098,QUERY
125099,FAST ALGORITHMS
125100,SUBQUADRATIC ALGORITHM
125101,COMMON ANCESTORS
125102,TEXT
125103,MISMATCHES
125104,CONSTRUCTION
125105,HYPERTEXT
125106,DISTANCES
125107,NEAREST-NEIGHBOR SEARCH
125108,TREES
125109,FILE
125110,ALGORITHM
125111,QUERIES
125112,TIME
125113,GRID FILE
125114,DESCRIPTORS
125115,WELL-FOUNDED SEMANTICS
125116,STABLE MODEL SEMANTICS
125117,UNDECIDABLE BOUNDEDNESS PROBLEMS
125118,UNBOUND DATALOG QUERIES
125119,FIRST-ORDER LOGIC
125120,DEDUCTIVE DATABASES
125121,POLYNOMIAL-TIME
125122,COMPUTATIONAL-COMPLEXITY
125123,DISJUNCTIVE DATALOG
125124,PREDICATE LOGIC
125125,PROBABILISTIC INFORMATION-RETRIEVAL
125126,DOCUMENT CLASSIFICATION
125127,FEATURE-SELECTION
125128,SPECIAL ISSUE
125129,RELEVANCE
125130,MODELS
125131,ASSUMPTIONS
125132,PREVENTING USELESS CHECKPOINTS
125133,DISTRIBUTED SYSTEMS
125134,COMPUTING SYSTEMS
125135,FAULT-TOLERANCE
125136,SNAPSHOTS
125137,COST
125138,PROGRAMMABLE GATE ARRAYS
125139,MULTI-FPGA SYSTEMS
125140,DESIGN
125141,ARCHITECTURES
125142,ROUTER
125143,BANDWIDTH MINIMIZATION PROBLEM
125144,LINEAR ARRANGEMENT PROBLEM
125145,DYNAMIC-PROGRAMMING ALGORITHMS
125146,DIRECTED ACYCLIC GRAPHS
125147,RANDOM GEOMETRIC GRAPHS
125148,PROPER INTERVAL-GRAPHS
125149,BISECTION WIDTH
125150,MIN-CUT
125151,APPROXIMATION ALGORITHMS
125152,OBJECT REPRESENTATION
125153,FACIAL EXPRESSIONS
125154,APPEARANCE MODELS
125155,NEURAL-NETWORK
125156,ILLUMINATION
125157,IMAGE
125158,SHAPE
125159,IDENTIFICATION
125160,ARCHITECTURE
125161,INFORMATION
125162,TRAVELING SALESMAN PROBLEM
125163,VARIABLE NEIGHBORHOOD SEARCH
125164,ANT COLONY OPTIMIZATION
125165,LINEAR ORDERING PROBLEM
125166,LOCAL SEARCH
125167,EVOLUTIONARY COMPUTATION
125168,ASSIGNMENT PROBLEM
125169,PATH RELINKING
125170,SCATTER SEARCH
125171,TABOO SEARCH
125172,MULTICAST
125173,INFRASTRUCTURE
125174,SYSTEMS
125175,SECURITY
125176,P2P
125177,X-RAY ANGIOGRAMS
125178,ORIENTATION LINE SEGMENTATION
125179,MAGNETIC-RESONANCE ANGIOGRAMS
125180,MEDICAL IMAGE SEGMENTATION
125181,CORONARY-ARTERIES
125182,BLOOD-VESSELS
125183,MR-IMAGES
125184,BIPLANE ANGIOGRAMS
125185,DEFORMABLE MODELS
125186,ACTIVE CONTOURS
125187,OPTIMISTIC ATOMIC BROADCAST
125188,QUIESCENT RELIABLE COMMUNICATION
125189,INTERPROCESS COMMUNICATION
125190,GENERIC BROADCAST
125191,PROPAGATION TREES
125192,FAILURE DETECTOR
125193,CONSENSUS
125194,PROTOCOL
125195,TOTEM
125196,ITERATION
125197,MODEL
125198,EXECUTION
125199,MACHINES
125200,PROGRAMMING-LANGUAGES
125201,SOFTWARE
125202,SEMANTICS
125203,COMPILER
125204,GRAMMAR
125205,MACROS
125206,REUSE
125207,MINIMAL SPANNING-TREES
125208,CRITICAL TRANSMITTING RANGE
125209,RANDOM POINTS
125210,RADIO NETWORKS
125211,STRONG LAW
125212,CONNECTIVITY
125213,ASYMPTOTICS
125214,LINK
125215,FILE SYSTEM
125216,REAL-TIME TRACKING
125217,HUMAN MOTION
125218,IMAGE SEGMENTATION
125219,VISUAL TRACKING
125220,HYPOTHESIS TRACKING
125221,TARGET TRACKING
125222,MOVING-OBJECTS
125223,OPTICAL-FLOW
125224,VIRTUAL CHANNELS
125225,INTERCONNECTION NETWORKS
125226,SUFFICIENT CONDITION
125227,WORMHOLE NETWORKS
125228,TURN MODEL
125229,COMMUNICATION
125230,SERVICE
125231,KNOWLEDGE DISCOVERY
125232,ENGINEERING-EDUCATION
125233,VIRTUAL ENVIRONMENTS
125234,SCIENCE LABORATORIES
125235,EXPERIMENTATION
125236,INTERNET
125237,STUDENT
125238,COLLABORATORIES
125239,QUESTIONNAIRE
125240,SUFFIX ARRAY CONSTRUCTION
125241,INDEPENDENT FM-INDEX
125242,EFFICIENT IMPLEMENTATION
125243,TREE CONSTRUCTION
125244,BURROWS-WHEELER
125245,EXTERNAL MEMORY
125246,LARGE ALPHABETS
125247,WORKING SPACE
125248,LINEAR-TIME
125249,DENIAL-OF-SERVICE
125250,INTRUSION
125251,ATTACKS
125252,MULTISENSOR DATA FUSION
125253,SEQUENTIAL MONTE-CARLO
125254,DISTRIBUTED COMPRESSION
125255,COLLABORATIVE SIGNAL
125256,ABDUCTIVE INFERENCE
125257,SOURCE LOCALIZATION
125258,LOCATION ESTIMATION
125259,DATA DISSEMINATION
125260,OCCUPANCY GRIDS
125261,TARGET LOCATION
125262,SPACE
125263,2D
125264,OF-THE-ART
125265,EVALUATING RELEVANCE FEEDBACK
125266,VISUAL INFORMATION-RETRIEVAL
125267,SMALL DISPLAYS
125268,EXPECTATION-MAXIMIZATION
125269,SIMILARITY RETRIEVAL
125270,OBJECT RECOGNITION
125271,NORMALIZED CUTS
125272,SEGMENTATION
125273,TEXTURE
125274,WEB-ACCESSIBLE DATABASES
125275,APPROXIMATE
125276,ADAPTATION
125277,NETWORKS
125278,AGENT
125279,SEMANTIC DATA MODELS
125280,INFORMATION-SYSTEMS
125281,COMPLEX NETWORKS
125282,QUERY LANGUAGE
125283,RDF
125284,REPRESENTATION
125285,PERSPECTIVE
125286,WEB
125287,UNSUPERVISED OUTLIER DETECTION
125288,DISTANCE-BASED OUTLIERS
125289,NOVELTY DETECTION
125290,INTRUSION-DETECTION
125291,TIME-SERIES
125292,DENSITY-ESTIMATION
125293,CLASSIFICATION
125294,SELF
125295,CORPUS-BASED METHODS
125296,NATURAL-LANGUAGE
125297,SPECIAL-ISSUE
125298,INFORMATION-RETRIEVAL
125299,KNOWLEDGE SOURCES
125300,WSD
125301,DISCRIMINATION
125302,LISTS
125303,INFORMATION QUALITY
125304,IMPACT
125305,INTEGRATION
125306,TO-PEER SYSTEMS
125307,TRUST
125308,EBAY
125309,ACHIEVING K-ANONYMITY
125310,DATABASES
125311,ANONYMIZATION
125312,SUPPRESSION
125313,MANAGEMENT
125314,EFFICIENT ALGORITHM
125315,FREQUENT SEQUENCES
125316,NEAREST-NEIGHBOR QUERIES
125317,PREDICTIVE SPATIOTEMPORAL QUERIES
125318,MOVING OBJECT ENVIRONMENTS
125319,MOBILE ENVIRONMENTS
125320,DATA STREAMS
125321,DYNAMIC ENVIRONMENTS
125322,PERFORMANCE ANALYSIS
