AcademicRecordID,WosUID,Title,DocumentTypeId,LanguageId,PublicationId,PubYear,PubMonth,PubDate,PubVolume,PubIssue,PublicationTypeId,PubPageCount,DatabaseEditionId,ReferenceCount,CiteCount,JournalExpectedCitations,JournalActExpCitations,ImpactFactor,AvgExpectedRate,Percentile,Nci,EsiMostCitedArticle,HotPaper,IsInternationalCollab,IsInstitutionCollab,IsIndustryCollab,OaFlag,JournalInfoId,IsReferenceArticle,QValue,IsPassive,SelfCitationCount
88652,WOS:000166979500001,An updated survey of GA-based multiobjective optimization techniques,7,1,11050,2000,JUN,2000-06-01 00:00:00.000,32,2,5,35,1,114,337,,,,,,,,,,,,,,1,,0,0
88653,WOS:000168229900003,The state of the art in distributed query processing,7,1,11050,2000,DEC,2000-12-01 00:00:00.000,32,4,5,48,1,162,298,,,,,,,,,,,,,,1,,0,0
88654,WOS:000168229900001,Logical models of argument,7,1,11050,2000,DEC,2000-12-01 00:00:00.000,32,4,5,47,1,206,238,,,,,,,,,,,,,,1,,0,0
88655,WOS:000166979500002,Information retrieval on the Web,7,1,11050,2000,JUN,2000-06-01 00:00:00.000,32,2,5,30,1,231,220,,,,,,,,,,,,,,1,,0,0
88656,WOS:000168987700002,A guided tour to approximate string matching,7,1,11050,2001,MAR,2001-03-01 00:00:00.000,33,1,5,58,1,155,858,,,,,,,,,,,,,,1,,0,0
88657,WOS:000173564500001,Searching in metric spaces,1,1,11050,2001,SEP,2001-09-01 00:00:00.000,33,3,5,49,1,78,512,,,,,,,,,,,,,,1,,0,0
88658,WOS:000173564500002,Searching in high-dimensional spaces - Index structures for improving the performance of multimedia Databases,7,1,11050,2001,SEP,2001-09-01 00:00:00.000,33,3,5,52,1,128,360,,,,,,,,,,,,,,1,,0,0
88659,WOS:000173564500003,Complexity and expressive power of logic programming,7,1,11050,2001,SEP,2001-09-01 00:00:00.000,33,3,5,52,1,302,282,,,,,,,,,,,,,,1,,0,0
88660,WOS:000175267600001,Machine learning in automated text categorization,7,1,11050,2002,MAR,2002-03-01 00:00:00.000,34,1,5,47,1,146,2860,,,,,,,,,,,,,,1,,0,0
88661,WOS:000177784600003,A survey of rollback-recovery protocols in message-passing systems,1,1,11050,2002,SEP,2002-09-01 00:00:00.000,34,3,5,34,1,63,660,,,,,,,,,,,,,,1,,0,0
88662,WOS:000175800400001,Reconfigurable computing: A survey of systems and software,7,1,11050,2002,JUN,2002-06-01 00:00:00.000,34,2,5,40,1,166,562,,,,,,,,,,,,,,1,,0,0
88663,WOS:000177784600001,A survey of graph layout problems,7,1,11050,2002,SEP,2002-09-01 00:00:00.000,34,3,5,44,1,260,249,,,,,,,,,,,,,,1,,0,0
88664,WOS:000187181700003,Face recognition: A literature survey,7,1,11050,2003,DEC,2003-12-01 00:00:00.000,35,4,5,61,1,166,2823,,,,,,,,,,,,,,1,,0,0
88665,WOS:000185177500002,Metaheuristics in combinatorial optimization: Overview and conceptual comparison,7,1,11050,2003,SEP,2003-09-01 00:00:00.000,35,3,5,41,1,171,1257,,,,,,,,,,,,,,1,,0,0
88666,WOS:000184182900002,The many faces of publish/subscribe,1,1,11050,2003,JUN,2003-06-01 00:00:00.000,35,2,5,18,1,74,1088,,,,,,,,,,,,,,1,,0,0
88667,WOS:000185177500003,A survey of key management for secure group communication,1,1,11050,2003,SEP,2003-09-01 00:00:00.000,35,3,5,21,1,42,353,,,,,,,,,,,,,,1,,0,0
88668,WOS:000226459800001,A survey of peer-to-peer content distribution technologies,7,1,11050,2004,DEC,2004-12-01 00:00:00.000,36,4,5,37,1,122,543,,,,,,,,,,,,,,1,,0,0
88669,WOS:000224998400001,A review of vessel extraction techniques and algorithms,7,1,11050,2004,JUN,2004-06-01 00:00:00.000,36,2,5,41,1,166,501,,,,,,,,,,,,,,1,,0,0
88670,WOS:000226459800002,Total order broadcast and multicast algorithms: Taxonomy and survey,7,1,11050,2004,DEC,2004-12-01 00:00:00.000,36,4,5,50,1,143,184,,,,,,,,,,,,,,1,,0,0
88671,WOS:000223053000001,Advances in dataflow programming languages,1,1,11050,2004,MAR,2004-03-01 00:00:00.000,36,1,5,34,1,100,168,,,,,,,,,,,,,,1,,0,0
88672,WOS:000236006500002,When and how to develop domain-specific languages,7,1,11050,2005,DEC,2005-12-01 00:00:00.000,37,4,5,29,1,154,594,,,,,,,,,,,,,,1,,0,0
88673,WOS:000232597900003,Topology control in wireless ad hoc and sensor networks,7,1,11050,2005,JUN,2005-06-01 00:00:00.000,37,2,5,31,1,109,399,,,,,,,,,,,,,,1,,0,0
