AcademicRecordKeywordID,AcademicRecordId,AcademicKeywordId
336634,88652,128865
336635,88652,128866
336636,88652,128867
336637,88652,128868
336638,88652,128869
336639,88652,128870
336640,88653,128871
336641,88653,128872
336642,88653,128873
336643,88653,128874
336644,88653,128875
336645,88653,128876
336646,88653,128877
336647,88653,128878
336648,88653,128879
336649,88653,128880
336650,88653,128881
336651,88654,128882
336652,88654,128883
336653,88654,128884
336654,88655,128865
336655,88655,128885
336656,88655,128886
336657,88655,128887
336658,88655,128888
336659,88655,128889
336660,88655,128890
336661,88655,128891
336662,88655,128892
336663,88656,128865
336664,88656,128893
336665,88656,128894
336666,88656,128895
336667,88656,128896
336668,88657,128865
336669,88657,128897
336670,88657,128898
336671,88657,128899
336672,88657,128900
336673,88658,128865
336674,88658,128901
336675,88658,128902
336676,88658,128903
336677,88658,128885
336678,88658,128904
336679,88658,128905
336680,88658,128906
336681,88658,128907
336682,88659,128908
336683,88659,128885
336684,88659,128909
336685,88659,128910
336686,88659,128911
336687,88659,128912
336688,88659,128913
336689,88659,128914
336690,88660,128865
336691,88660,128915
336692,88660,128885
336693,88660,128916
336694,88660,128917
336695,88660,128918
336696,88661,128901
336697,88661,128919
336698,88661,128903
336699,88661,128920
336700,88661,128921
336701,88662,128901
336702,88662,128903
336703,88662,128922
336704,88662,128923
336705,88662,128924
336706,88662,128925
336707,88662,128926
336708,88662,128927
336709,88662,128928
336710,88663,128865
336711,88663,128915
336712,88663,128885
336713,88663,128929
336714,88663,128909
336715,88663,128930
336716,88663,128931
336717,88663,128932
336718,88663,128933
336719,88663,128934
336720,88664,128865
336721,88664,128935
336722,88664,128936
336723,88665,128865
336724,88665,128937
336725,88665,128938
336726,88665,128939
336727,88665,128940
336728,88666,128901
336729,88666,128941
336730,88666,128942
336731,88666,128943
336732,88667,128901
336733,88667,128944
336734,88667,128945
336735,88667,128946
336736,88667,128947
336737,88668,128865
336738,88668,128901
336739,88668,128903
336740,88668,128919
336741,88668,128945
336742,88668,128948
336743,88668,128949
336744,88668,128950
336745,88668,128951
336746,88668,128952
336747,88668,128953
336748,88669,128865
336749,88669,128901
336750,88669,128903
336751,88669,128954
336752,88669,128955
336753,88669,128956
336754,88669,128957
336755,88669,128958
336756,88670,128865
336757,88670,128919
336758,88670,128901
336759,88670,128959
336760,88670,128960
336761,88670,128961
336762,88670,128962
336763,88670,128963
336764,88670,128964
336765,88670,128965
336766,88670,128966
336767,88670,128967
336768,88670,128968
336769,88670,128969
336770,88670,128970
336771,88670,128971
336772,88671,128908
336773,88671,128885
336774,88671,128972
336775,88671,128973
336776,88671,128974
336777,88671,128975
336778,88671,128976
336779,88671,128977
336780,88671,128978
336781,88672,128901
336782,88672,128908
336783,88672,128903
336784,88672,128979
336785,88672,128980
336786,88672,128981
336787,88672,128982
336788,88673,128865
336789,88673,128901
336790,88673,128983
336791,88673,128984
336792,88673,128985
336793,88673,128986
336794,88673,128987
336795,88674,128865
336796,88674,128903
336797,88674,128919
336798,88674,128988
336799,88674,128989
336800,88674,128990
336801,88675,128901
336802,88675,128908
336803,88675,128991
336804,88675,128992
336805,88675,128993
336806,88675,128994
336807,88675,128995
336808,88675,128996
336809,88676,128865
336810,88676,128997
