AcademicRecordKeywordPlusID,AcademicRecordId,AcademicKeywordPlusId
684060,88652,125079
684061,88652,125080
684062,88652,125081
684063,88652,125082
684064,88652,125083
684065,88652,125084
684066,88653,125085
684067,88653,125086
684068,88653,125087
684069,88653,125088
684070,88653,125089
684071,88653,125090
684072,88653,125091
684073,88654,125092
684074,88654,125093
684075,88655,125094
684076,88655,125083
684077,88655,125095
684078,88655,125096
684079,88655,125097
684080,88655,125098
684081,88656,125099
684082,88656,125100
684083,88656,125101
684084,88656,125102
684085,88656,125103
684086,88656,125083
684087,88656,125104
684088,88656,125105
684089,88656,125106
684090,88657,125107
684091,88657,125108
684092,88657,125109
684093,88657,125110
684094,88657,125111
684095,88657,125112
684096,88658,125113
684097,88658,125108
684098,88658,125114
684099,88659,125115
684100,88659,125116
684101,88659,125117
684102,88659,125118
684103,88659,125119
684104,88659,125120
684105,88659,125121
684106,88659,125122
684107,88659,125123
684108,88659,125124
684109,88660,125125
684110,88660,125126
684111,88660,125127
684112,88660,125128
684113,88660,125129
684114,88660,125130
684115,88660,125131
684116,88661,125132
684117,88661,125133
684118,88661,125134
684119,88661,125135
684120,88661,125136
684121,88661,125137
684122,88662,125138
684123,88662,125139
684124,88662,125087
684125,88662,125140
684126,88662,125092
684127,88662,125141
684128,88662,125090
684129,88662,125142
684130,88663,125143
684131,88663,125144
684132,88663,125145
684133,88663,125146
684134,88663,125147
684135,88663,125148
684136,88663,125149
684137,88663,125121
684138,88663,125150
684139,88663,125151
684140,88664,125152
684141,88664,125153
684142,88664,125154
684143,88664,125155
684144,88664,125156
684145,88664,125157
684146,88664,125158
684147,88664,125159
684148,88664,125160
684149,88664,125161
684150,88665,125162
684151,88665,125163
684152,88665,125164
684153,88665,125165
684154,88665,125166
684155,88665,125167
684156,88665,125168
684157,88665,125169
684158,88665,125170
684159,88665,125171
684160,88666,125172
684161,88666,125173
684162,88666,125174
684163,88666,125140
684164,88668,125175
684165,88668,125176
684166,88669,125177
684167,88669,125178
684168,88669,125179
684169,88669,125180
684170,88669,125181
684171,88669,125182
684172,88669,125183
684173,88669,125184
684174,88669,125185
684175,88669,125186
684176,88670,125187
684177,88670,125188
684178,88670,125133
684179,88670,125189
684180,88670,125190
684181,88670,125191
684182,88670,125192
684183,88670,125193
684184,88670,125194
684185,88670,125195
684186,88671,125196
684187,88671,125197
684188,88671,125198
684189,88671,125199
684190,88672,125200
684191,88672,125201
684192,88672,125140
684193,88672,125092
684194,88672,125202
684195,88672,125203
684196,88672,125204
684197,88672,125205
684198,88672,125206
684199,88673,125207
684200,88673,125208
684201,88673,125209
684202,88673,125210
684203,88673,125211
684204,88673,125212
684205,88673,125213
684206,88673,125197
684207,88673,125214
684208,88674,125215
684209,88676,125216
684210,88676,125217
684211,88676,125218
684212,88676,125219
684213,88676,125220
684214,88676,125154
684215,88676,125221
684216,88676,125186
684217,88676,125222
684218,88676,125223
684219,88677,125224
684220,88677,125225
684221,88677,125226
684222,88677,125227
684223,88677,125228
684224,88677,125087
684225,88677,125160
684226,88677,125140
684227,88677,125229
684228,88677,125230
684229,88678,125231
684230,88678,125090
684231,88678,125108
684232,88679,125232
684233,88679,125233
684234,88679,125234
684235,88679,125235
684236,88679,125087
684237,88679,125236
684238,88679,125237
684239,88679,125091
684240,88679,125238
684241,88679,125239
684242,88680,125240
684243,88680,125241
684244,88680,125242
684245,88680,125243
684246,88680,125244
684247,88680,125245
684248,88680,125246
684249,88680,125247
684250,88680,125248
684251,88680,125110
684252,88681,125249
684253,88681,125250
684254,88681,125251
684255,88682,125252
684256,88682,125253
684257,88682,125254
684258,88682,125255
684259,88682,125256
684260,88682,125257
684261,88682,125258
684262,88682,125259
684263,88682,125260
684264,88682,125261
684265,88683,125262
684266,88683,125263
684267,88684,125264
684268,88684,125265
684269,88684,125266
684270,88684,125267
684271,88684,125268
684272,88684,125269
684273,88684,125270
684274,88684,125271
684275,88684,125272
684276,88684,125273
684277,88685,125274
684278,88685,125275
684279,88685,125089
684280,88685,125090
684281,88686,125133
684282,88686,125201
684283,88686,125276
684284,88686,125277
684285,88686,125278
684286,88687,125279
684287,88687,125280
684288,88687,125281
684289,88687,125282
684290,88687,125283
684291,88687,125284
684292,88687,125285
684293,88687,125286
684294,88688,125287
684295,88688,125288
684296,88688,125289
684297,88688,125155
684298,88688,125290
684299,88688,125291
684300,88688,125292
684301,88688,125293
684302,88688,125095
684303,88688,125294
684304,88689,125295
684305,88689,125296
684306,88689,125297
684307,88689,125298
684308,88689,125299
684309,88689,125300
684310,88689,125286
684311,88689,125301
684312,88689,125110
684313,88689,125302
684314,88690,125303
684315,88690,125304
684316,88690,125305
684317,88690,125174
684318,88691,125306
684319,88691,125307
684320,88691,125308
684321,88692,125309
684322,88692,125310
684323,88692,125311
684324,88692,125312
684325,88692,125130
684326,88693,125197
684327,88693,125313
684328,88693,125277
684329,88693,125174
684330,88694,125314
684331,88694,125315
684332,88695,125316
684333,88695,125317
684334,88695,125318
684335,88695,125319
684336,88695,125320
684337,88695,125321
684338,88695,125322
684339,88695,125323
684340,88695,125324
684341,88695,125325
684342,88696,125326
684343,88696,125327
684344,88696,125328
684345,88696,125329
684346,88696,125330
684347,88696,125331
684348,88696,125284
684349,88696,125332
684350,88696,125333
684351,88697,125334
684352,88697,125335
684353,88697,125336
684354,88697,125337
684355,88697,125338
684356,88697,125090
684357,88697,125339
684358,88697,125340
684359,88697,125341
684360,88697,125342
684361,88698,125343
684362,88698,125344
684363,88698,125345
684364,88698,125151
684365,88698,125346
684366,88698,125347
684367,88698,125348
684368,88698,125349
684369,88698,125350
684370,88698,125351
684371,88699,125352
684372,88699,125353
684373,88699,125354
684374,88699,125201
684375,88699,125090
684376,88699,125140
684377,88699,125355
684378,88699,125083
684379,88699,125095
684380,88699,125356
684381,88700,125357
684382,88700,125358
684383,88700,125174
684384,88700,125087
684385,88700,125359
684386,88700,125110
684387,88700,125360
684388,88700,125361
684389,88700,125362
684390,88700,125363
684391,88701,125364
684392,88701,125365
684393,88701,125366
684394,88701,125367
684395,88701,125313
684396,88701,125368
684397,88701,125140
684398,88701,125112
684399,88701,125369
684400,88701,125160
684401,88702,125370
684402,88702,125371
684403,88702,125372
684404,88702,125293
684405,88702,125284
684406,88702,125373
684407,88702,125374
684408,88702,125375
684409,88702,125197
684410,88702,125376
684411,88703,125164
684412,88703,125377
684413,88703,125079
684414,88703,125378
684415,88703,125379
684416,88703,125380
684417,88703,125381
684418,88703,125197
684419,88703,125382
684420,88703,125383
684421,88704,125281
684422,88704,125384
684423,88704,125385
684424,88704,125386
684425,88704,125110
684426,88705,125387
684427,88705,125388
684428,88705,125389
684429,88705,125390
684430,88705,125166
684431,88705,125391
684432,88705,125392
684433,88705,125393
684434,88705,125394
684435,88705,125395
684436,88706,125396
684437,88706,125397
684438,88706,125277
684439,88706,125095
684440,88706,125398
684441,88706,125399
684442,88706,125130
684443,88707,125400
684444,88707,125401
684445,88707,125402
684446,88707,125313
684447,88707,125403
684448,88707,125404
684449,88707,125405
684450,88707,125406
684451,88708,125407
684452,88708,125408
684453,88709,125409
684454,88709,125410
684455,88709,125411
684456,88709,125412
684457,88709,125413
684458,88709,125414
684459,88709,125373
684460,88709,125415
684461,88709,125293
684462,88709,125360
684463,88710,125413
684464,88710,125416
684465,88710,125277
684466,88710,125197
684467,88710,125161
684468,88710,125417
684469,88710,125090
684470,88710,125418
684471,88710,125419
684472,88710,125420
684473,88711,125322
684474,88711,125313
684475,88712,125259
684476,88712,125421
684477,88712,125422
684478,88712,125423
684479,88712,125095
684480,88712,125424
684481,88712,125425
684482,88712,125426
684483,88712,125427
684484,88712,125428
684485,88713,125112
684486,88713,125159
684487,88713,125429
684488,88713,125430
684489,88714,125431
684490,88714,125432
684491,88714,125079
684492,88714,125433
684493,88714,125087
684494,88714,125434
684495,88714,125083
684496,88714,125140
684497,88714,125435
684498,88714,125436
684499,88715,125437
684500,88715,125438
684501,88715,125079
684502,88715,125439
684503,88715,125440
684504,88715,125199
684505,88715,125277
684506,88715,125441
684507,88715,125442
684508,88715,125095
684509,88716,125443
684510,88716,125444
684511,88716,125445
684512,88716,125446
684513,88716,125447
684514,88716,125448
684515,88716,125449
684516,88716,125450
684517,88716,125451
684518,88716,125137
684519,88717,125452
684520,88717,125453
684521,88717,125130
684522,88717,125313
684523,88717,125454
684524,88717,125418
684525,88717,125455
684526,88717,125456
684527,88717,125083
684528,88717,125457
684529,88718,125095
684530,88718,125277
684531,88718,125458
684532,88719,125459
684533,88719,125460
684534,88719,125461
684535,88719,125083
684536,88719,125293
684537,88719,125462
684538,88719,125129
684539,88719,125376
684540,88719,125199
684541,88719,125463
684542,88720,125464
684543,88720,125465
684544,88720,125466
684545,88720,125467
684546,88720,125448
684547,88720,125468
684548,88720,125414
684549,88720,125110
684550,88720,125469
684551,88720,125229
684552,88722,125470
684553,88722,125471
684554,88722,125472
684555,88722,125473
684556,88722,125474
684557,88723,125236
684558,88723,125475
684559,88723,125476
684560,88723,125230
684561,88723,125477
684562,88723,125175
684563,88724,125478
684564,88724,125479
684565,88724,125480
684566,88724,125161
684567,88724,125293
684568,88724,125481
684569,88724,125482
684570,88725,125483
684571,88725,125236
684572,88725,125484
684573,88725,125475
684574,88725,125485
684575,88725,125477
684576,88726,125201
684577,88727,125140
684578,88732,125486
684579,88733,125487
684580,88736,125488
684581,88737,125489
684582,88739,125490
684583,88739,125491
684584,88739,125492
684585,88739,125493
684586,88744,125494
684587,88744,125495
684588,88744,125496
684589,88744,125497
684590,88744,125498
684591,88745,125499
684592,88746,125233
684593,88746,125500
684594,88746,125501
684595,88746,125502
684596,88746,125503
684597,88746,125140
684598,88747,125504
684599,88748,125505
684600,88750,125506
684601,88750,125507
684602,88750,125508
684603,88751,125509
684604,88753,125510
684605,88754,125511
684606,88754,125506
684607,88754,125512
684608,88754,125513
684609,88754,125514
684610,88755,125515
684611,88755,125159
684612,88755,125516
684613,88756,125517
684614,88756,125518
684615,88756,125095
684616,88756,125519
684617,88756,125520
684618,88756,125521
684619,88756,125522
684620,88758,125523
684621,88758,125524
684622,88758,125525
684623,88758,125526
684624,88758,125197
684625,88766,125527
684626,88766,125528
684627,88766,125529
684628,88766,125530
684629,88766,125174
684630,88766,125531
684631,88766,125532
684632,88766,125533
684633,88766,125534
684634,88766,125535
684635,88767,125536
684636,88767,125537
684637,88767,125538
684638,88768,125533
684639,88769,125539
684640,88769,125540
684641,88769,125541
684642,88769,125087
684643,88769,125542
684644,88769,125342
684645,88769,125304
684646,88769,125543
684647,88769,125140
684648,88769,125544
684649,88770,125545
684650,88770,125546
684651,88770,125547
684652,88770,125160
684653,88770,125548
684654,88770,125110
684655,88770,125535
684656,88770,125549
684657,88771,125174
684658,88773,125550
684659,88773,125551
684660,88774,125552
684661,88774,125553
684662,88774,125538
684663,88774,125554
684664,88775,125555
684665,88775,125556
684666,88776,125553
684667,88776,125557
684668,88776,125538
684669,88776,125558
684670,88776,125110
684671,88777,125110
684672,88777,125534
684673,88778,125559
684674,88778,125560
684675,88778,125561
684676,88778,125562
684677,88778,125563
684678,88778,125564
684679,88778,125565
684680,88778,125566
684681,88778,125567
684682,88778,125568
684683,88779,125569
684684,88779,125570
684685,88779,125571
684686,88779,125572
684687,88779,125573
684688,88779,125574
684689,88779,125575
684690,88779,125576
684691,88779,125577
684692,88779,125578
684693,88780,125579
684694,88780,125580
684695,88780,125581
684696,88780,125582
684697,88780,125583
684698,88780,125174
684699,88780,125584
684700,88781,125546
684701,88781,125140
684702,88782,125225
684703,88782,125585
684704,88782,125561
684705,88782,125140
684706,88782,125586
684707,88782,125587
684708,88782,125542
684709,88782,125142
684710,88783,125533
684711,88783,125588
684712,88783,125160
684713,88783,125589
684714,88784,125590
684715,88784,125591
684716,88784,125592
684717,88784,125427
684718,88784,125313
684719,88784,125440
684720,88784,125140
684721,88784,125593
684722,88785,125594
684723,88785,125595
684724,88785,125140
684725,88785,125095
684726,88786,125596
684727,88786,125597
684728,88786,125598
684729,88786,125599
684730,88786,125600
684731,88786,125601
684732,88786,125602
684733,88786,125603
684734,88786,125604
684735,88787,125605
684736,88787,125606
684737,88787,125607
684738,88787,125608
684739,88787,125609
684740,88787,125538
684741,88787,125174
684742,88787,125197
684743,88787,125610
684744,88787,125141
684745,88788,125611
684746,88788,125540
684747,88788,125612
684748,88788,125613
684749,88788,125614
684750,88788,125615
684751,88788,125616
684752,88788,125617
684753,88788,125618
684754,88789,125619
684755,88789,125597
684756,88789,125620
684757,88789,125543
684758,88789,125601
684759,88789,125159
684760,88789,125621
684761,88789,125622
684762,88789,125623
684763,88789,125624
684764,88790,125625
684765,88790,125087
684766,88790,125482
684767,88790,125095
684768,88790,125197
684769,88790,125626
684770,88790,125230
684771,88790,125627
684772,88791,125533
684773,88791,125628
684774,88791,125629
684775,88791,125535
684776,88791,125174
684777,88791,125543
684778,88791,125630
684779,88793,125546
684780,88793,125631
684781,88793,125536
684782,88793,125554
684783,88793,125632
684784,88794,125633
684785,88794,125597
684786,88794,125634
684787,88794,125635
684788,88794,125636
684789,88794,125601
684790,88794,125637
684791,88794,125638
684792,88794,125140
684793,88794,125549
684794,88795,125639
684795,88795,125640
684796,88795,125641
684797,88795,125642
684798,88795,125643
684799,88795,125586
684800,88795,125140
684801,88795,125092
684802,88795,125161
684803,88795,125644
684804,88796,125645
684805,88796,125140
684806,88796,125646
684807,88796,125643
684808,88796,125174
684809,88796,125647
684810,88796,125648
684811,88797,125649
684812,88797,125650
684813,88797,125606
684814,88797,125651
684815,88797,125652
684816,88797,125653
684817,88797,125174
684818,88797,125654
684819,88797,125655
684820,88797,125656
684821,88798,125657
684822,88798,125658
684823,88798,125659
684824,88798,125602
684825,88800,125660
684826,88800,125534
684827,88801,125661
684828,88801,125662
684829,88801,125663
684830,88801,125140
684831,88801,125664
684832,88802,125665
684833,88803,125666
684834,88803,125667
684835,88803,125668
684836,88803,125160
684837,88803,125669
684838,88803,125670
684839,88803,125671
684840,88803,125672
684841,88804,125538
684842,88804,125141
684843,88806,125673
684844,88806,125140
684845,88806,125660
684846,88806,125586
684847,88807,125674
684848,88808,125141
684849,88808,125110
684850,88809,125675
684851,88809,125676
684852,88809,125543
684853,88813,125236
684854,88821,125677
684855,88829,125678
684856,88831,125679
684857,88839,125680
684858,88850,125681
684859,88868,125368
684860,88869,125236
684861,88869,125682
684862,88869,125160
684863,88869,125683
684864,88869,125095
684865,88876,125684
684866,88882,125685
684867,88883,125277
684868,88883,125653
684869,88885,125172
684870,88885,125350
684871,88885,125686
684872,88885,125687
684873,88890,125688
684874,88890,125689
684875,88891,125690
684876,88891,125104
684877,88891,125691
684878,88892,125692
684879,88892,125693
684880,88892,125593
684881,88892,125694
684882,88892,125090
684883,88893,125140
684884,88893,125592
684885,88895,125593
684886,88896,125695
684887,88896,125110
684888,88896,125696
684889,88897,125697
684890,88897,125698
684891,88897,125699
684892,88897,125700
684893,88897,125701
684894,88897,125262
684895,88898,125090
684896,88898,125702
684897,88899,125703
684898,88899,125704
684899,88899,125705
684900,88899,125538
684901,88899,125706
684902,88899,125707
684903,88900,125708
684904,88900,125699
684905,88900,125697
684906,88900,125698
684907,88900,125709
684908,88900,125090
684909,88900,125710
684910,88900,125456
684911,88900,125112
684912,88901,125711
684913,88901,125712
684914,88902,125690
684915,88902,125102
684916,88903,125713
684917,88903,125102
684918,88903,125092
684919,88903,125714
684920,88903,125715
684921,88903,125716
684922,88905,125717
684923,88905,125718
684924,88906,125719
684925,88906,125151
684926,88906,125720
684927,88906,125108
684928,88907,125721
684929,88907,125722
684930,88907,125723
684931,88908,125724
684932,88908,125725
684933,88908,125726
684934,88908,125727
684935,88908,125728
684936,88908,125729
684937,88909,125730
684938,88909,125731
684939,88910,125732
684940,88910,125733
684941,88910,125090
684942,88910,125340
684943,88910,125734
684944,88910,125735
684945,88910,125736
684946,88910,125262
684947,88911,125737
684948,88911,125738
684949,88911,125739
684950,88912,125083
684951,88912,125740
684952,88912,125520
684953,88912,125593
684954,88913,125737
684955,88913,125741
684956,88913,125340
684957,88914,125713
684958,88914,125742
684959,88914,125743
684960,88914,125744
684961,88914,125745
684962,88914,125284
684963,88914,125112
684964,88914,125161
684965,88914,125746
684966,88914,125747
684967,88915,125748
684968,88915,125749
684969,88915,125750
684970,88915,125090
684971,88915,125593
684972,88916,125748
684973,88917,125751
684974,88917,125752
684975,88917,125753
684976,88917,125754
684977,88917,125340
684978,88917,125755
684979,88917,125756
684980,88918,125732
684981,88918,125757
684982,88918,125248
684983,88918,125593
684984,88918,125758
684985,88919,125759
684986,88919,125760
684987,88919,125691
684988,88920,125761
684989,88920,125762
684990,88920,125763
684991,88921,125090
684992,88921,125764
684993,88921,125765
684994,88922,125745
684995,88922,125766
684996,88922,125340
684997,88923,125767
684998,88923,125768
684999,88923,125769
685000,88923,125770
685001,88923,125771
685002,88923,125340
685003,88923,125434
685004,88924,125772
685005,88924,125761
685006,88924,125773
685007,88924,125108
685008,88925,125774
685009,88926,125775
685010,88926,125776
685011,88926,125090
685012,88926,125417
685013,88926,125777
685014,88927,125110
685015,88928,125778
685016,88928,125151
685017,88928,125779
685018,88928,125780
685019,88928,125781
