AcademicRecordSubjectID,AcademicRecordId,AcademicSubjectId
270976,88652,454
270977,88652,455
270978,88653,454
270979,88653,455
270980,88654,454
270981,88654,455
270982,88655,454
270983,88655,455
270984,88656,454
270985,88656,455
270986,88657,454
270987,88657,455
270988,88658,454
270989,88658,455
270990,88659,454
270991,88659,455
270992,88660,454
270993,88660,455
270994,88661,454
270995,88661,455
270996,88662,454
270997,88662,455
270998,88663,454
270999,88663,455
271000,88664,454
271001,88664,455
271002,88665,454
271003,88665,455
271004,88666,454
271005,88666,455
271006,88667,454
271007,88667,455
271008,88668,454
271009,88668,455
271010,88669,454
271011,88669,455
271012,88670,454
271013,88670,455
271014,88671,454
271015,88671,455
271016,88672,454
271017,88672,455
271018,88673,454
271019,88673,455
271020,88674,454
271021,88674,455
271022,88675,454
271023,88675,455
271024,88676,454
271025,88676,455
271026,88677,454
271027,88677,455
271028,88678,454
271029,88678,455
271030,88679,454
271031,88679,455
271032,88680,454
271033,88680,455
271034,88681,454
271035,88681,455
271036,88682,454
271037,88682,455
271038,88683,454
271039,88683,455
271040,88684,454
271041,88684,455
271042,88685,454
271043,88685,455
271044,88686,454
271045,88686,455
271046,88687,454
271047,88687,455
271048,88688,454
271049,88688,455
271050,88689,454
271051,88689,455
271052,88690,454
271053,88690,455
271054,88691,454
271055,88691,455
271056,88692,454
271057,88692,455
271058,88693,454
271059,88693,455
271060,88694,454
271061,88694,455
271062,88695,454
271063,88695,455
271064,88696,454
271065,88696,455
271066,88697,454
271067,88697,455
271068,88698,454
271069,88698,455
271070,88699,454
271071,88699,455
271072,88700,454
271073,88700,455
271074,88701,454
271075,88701,455
271076,88702,454
271077,88702,455
271078,88703,454
271079,88703,455
271080,88704,454
271081,88704,455
271082,88705,454
271083,88705,455
271084,88706,454
271085,88706,455
271086,88707,454
271087,88707,455
271088,88708,454
271089,88708,455
271090,88709,454
271091,88709,455
271092,88710,454
271093,88710,455
271094,88711,454
271095,88711,455
271096,88712,454
271097,88712,455
271098,88713,454
271099,88713,455
271100,88714,454
271101,88714,455
271102,88715,454
271103,88715,455
271104,88716,454
271105,88716,455
271106,88717,454
271107,88717,455
271108,88718,454
271109,88718,455
271110,88719,454
271111,88719,455
271112,88720,454
271113,88720,455
271114,88721,454
271115,88721,455
271116,88722,454
271117,88722,455
271118,88723,454
271119,88723,455
271120,88724,454
271121,88724,455
271122,88725,454
271123,88725,455
271124,88726,454
271125,88726,455
271126,88727,454
271127,88727,455
271128,88728,456
271129,88728,457
271130,88728,458
271131,88728,455
271132,88729,456
271133,88729,457
271134,88729,458
271135,88729,455
271136,88730,456
271137,88730,457
271138,88730,458
271139,88730,455
271140,88731,456
271141,88731,457
271142,88731,458
271143,88731,455
271144,88732,459
271145,88732,460
271146,88733,459
271147,88733,460
271148,88734,459
271149,88734,460
271150,88735,459
271151,88735,460
271152,88736,459
271153,88736,460
271154,88737,459
271155,88737,460
271156,88738,459
271157,88738,460
271158,88739,459
271159,88739,460
271160,88740,456
271161,88740,457
271162,88740,458
271163,88740,455
271164,88741,456
271165,88741,457
271166,88741,458
271167,88741,455
271168,88742,456
271169,88742,457
271170,88742,458
271171,88742,455
271172,88743,456
271173,88743,457
271174,88743,458
271175,88743,455
271176,88744,456
