AcademicSubjectID,Ascatype,Code,NameEn,CategoryId
454,traditional,EX,"Computer Science, Theory & Methods",
455,extended,,Computer Science,
456,traditional,BQ,"Humanities, Multidisciplinary",
457,traditional,EV,"Computer Science, Interdisciplinary Applications",
458,extended,,Arts & Humanities - Other Topics,
459,traditional,IQ,"Engineering, Electrical & Electronic",
460,extended,,Engineering,
461,traditional,ES,"Computer Science, Hardware & Architecture",
462,traditional,NS,Nanoscience & Nanotechnology,
463,extended,,Science & Technology - Other Topics,
464,traditional,ET,"Computer Science, Information Systems",
465,traditional,PN,"Mathematics, Applied",
466,extended,,Mathematics,
467,traditional,EW,"Computer Science, Software Engineering",
468,traditional,EP,"Computer Science, Artificial Intelligence",
469,traditional,QL,Logic,
470,traditional,ER,"Computer Science, Cybernetics",
471,traditional,HB,"Education, Scientific Disciplines",
472,extended,,Education & Educational Research,
473,traditional,JU,Fisheries,
474,extended,,Fisheries,
475,traditional,YE,Telecommunications,
476,extended,,Telecommunications,
477,traditional,IF,"Engineering, Multidisciplinary",
478,traditional,PT,Medical Informatics,
479,extended,,Medical Informatics,
480,traditional,AC,Automation & Control Systems,
481,extended,,Automation & Control Systems,
482,traditional,RU,Neurosciences,
483,extended,,Neurosciences & Neurology,
484,traditional,CO,Biochemical Research Methods,
485,traditional,DB,Biotechnology & Applied Microbiology,
486,traditional,MC,Mathematical & Computational Biology,
487,extended,,Biochemistry & Molecular Biology,
488,extended,,Biotechnology & Applied Microbiology,
489,extended,,Mathematical & Computational Biology,
490,traditional,PM,"Materials Science, Multidisciplinary",
491,traditional,PO,"Mathematics, Interdisciplinary Applications",
492,extended,,Materials Science,
493,traditional,VX,"Psychology, Experimental",
494,extended,,Psychology,
495,traditional,CU,Biology,
496,extended,,Life Sciences & Biomedicine - Other Topics,
497,traditional,LE,"Geosciences, Multidisciplinary",
498,extended,,Geology,
499,traditional,OT,Linguistics,
500,traditional,OY,Language & Linguistics,
501,extended,,Linguistics,
502,traditional,IG,"Engineering, Biomedical",
503,traditional,PU,Mechanics,
504,extended,,Mechanics,
505,traditional,RP,Music,
506,extended,,Music,
507,traditional,FA,Construction & Building Technology,
508,traditional,IM,"Engineering, Civil",
509,traditional,QF,"Materials Science, Characterization & Testing",
510,extended,,Construction & Building Technology,
511,traditional,AH,"Agriculture, Multidisciplinary",
512,extended,,Agriculture,
513,traditional,IX,"Engineering, Geological",
514,traditional,HA,Education & Educational Research,
515,traditional,IJ,"Engineering, Industrial",
516,traditional,PE,Operations Research & Management Science,
517,extended,,Operations Research & Management Science,
518,traditional,MQ,History & Philosophy Of Science,
519,extended,,History & Philosophy of Science,
520,traditional,DM,Oncology,
521,extended,,Oncology,
522,traditional,OA,Instruments & Instrumentation,
523,traditional,SY,Optics,
524,extended,,Instruments & Instrumentation,
525,extended,,Optics,
526,traditional,IU,"Engineering, Mechanical",
527,traditional,IH,"Engineering, Environmental",
528,traditional,JA,Environmental Sciences,
529,extended,,Environmental Sciences & Ecology,
530,traditional,NU,Information Science & Library Science,
531,extended,,Information Science & Library Science,
532,traditional,HT,Evolutionary Biology,
533,extended,,Evolutionary Biology,
534,traditional,RB,Robotics,
535,extended,,Robotics,
536,traditional,XY,Statistics & Probability,
537,traditional,JI,Ergonomics,
538,traditional,AI,"Engineering, Aerospace",
539,traditional,DI,Business,
540,extended,,Business & Economics,
541,traditional,DY,"Chemistry, Multidisciplinary",
542,extended,,Chemistry,
543,traditional,PC,Management,
544,traditional,UA,Philosophy,
545,extended,,Philosophy,
546,traditional,CQ,Biochemistry & Molecular Biology,
547,traditional,FI,Crystallography,
548,extended,,Crystallography,
549,traditional,UE,Imaging Science & Photographic Technology,
550,extended,,Imaging Science & Photographic Technology,
551,traditional,RO,Multidisciplinary Sciences,
552,traditional,VY,"Radiology, Nuclear Medicine & Medical Imaging",
553,extended,,"Radiology, Nuclear Medicine & Medical Imaging",
554,traditional,HI,"Psychology, Educational",
555,traditional,UB,"Physics, Applied",
556,extended,,Physics,
557,traditional,AA,Acoustics,
558,extended,,Acoustics,
559,traditional,PQ,Mathematics,
560,traditional,YR,Transportation Science & Technology,
561,extended,,Transportation,
