PublicationID,Name,Abbreviation,AbbreviationISO,ISSN,ISBN,DOI
11050,ACM COMPUTING SURVEYS,ACM COMPUT SURV,ACM Comput. Surv.,0360-0300,,
11051,ACM JOURNAL ON COMPUTING AND CULTURAL HERITAGE,ACM J COMPUT CULT HE,ACM J. Comput. Cult. Herit.,1556-4673,,10.1145/1841317.1841321
11052,2012 18th IEEE International Conference on Networks (ICON),IEEE INT CONF NETWOR,,1556-6463,978-1-4673-4523-1,
11053,2012 IEEE CUSTOM INTEGRATED CIRCUITS CONFERENCE (CICC),IEEE CUST INTEGR CIR,,,978-1-4673-1556-2,
11054,PROCEEDINGS OF 2013 IEEE 59TH HOLM CONFERENCE ON ELECTRICAL CONTACTS (HOLM),ELECTR CONTACT,,1062-6808,978-1-4673-5281-9,
11055,ACM JOURNAL ON EMERGING TECHNOLOGIES IN COMPUTING SYSTEMS,ACM J EMERG TECH COM,ACM J. Emerg. Technol. Comput. Syst.,1550-4832,,10.1145/1126257.1126259
11056,ACM SIGCOMM COMPUTER COMMUNICATION REVIEW,ACM SIGCOMM COMP COM,ACM SIGCOMM Comp. Commun. Rev.,0146-4833,,
11057,ACM TRANSACTIONS ON ALGORITHMS,ACM T ALGORITHMS,ACM Trans. Algorithms,1549-6325,,10.1145/1198513.1198522
11058,ACM TRANSACTIONS ON APPLIED PERCEPTION,ACM T APPL PERCEPT,ACM Trans. Appl. Percept.,1544-3558,,10.1145/1265957.1265960
11059,ACM TRANSACTIONS ON ARCHITECTURE AND CODE OPTIMIZATION,ACM T ARCHIT CODE OP,ACM Trans. Archit. Code Optim.,1544-3566,,10.1145/1328195.1328196
11060,ACM TRANSACTIONS ON ASIAN AND LOW-RESOURCE LANGUAGE INFORMATION PROCESSING,ACM T ASIAN LOW-RESO,ACM Trans. Asian Low-Resour. Lang. Inf. Process.,2375-4699,,10.1145/2700051
11061,ACM TRANSACTIONS ON AUTONOMOUS AND ADAPTIVE SYSTEMS,ACM T AUTON ADAP SYS,ACM Trans. Auton. Adapt. Syst.,1556-4665,,
11062,ACM TRANSACTIONS ON COMPUTATIONAL LOGIC,ACM T COMPUT LOG,ACM Trans. Comput. Log.,1529-3785,,
